title,old_url,status,archived,hs_category,hs_subcategory,new_path,disposition
Cvent Integration,https://learn.sessionboard.com/en/knowledge-base/9156219-cvent-integration,PUBLISHED,0,Integrations,,/integrations/cvent,hand-migrated
Language Variant (enabled upon request),https://learn.sessionboard.com/en/knowledge-base/9672597-language-translation-variant,PUBLISHED,0,Feature Overview Guides,Event Settings,/settings/language-translation-variant,imported
Reverting A Subsession Back To A Parent Session,https://learn.sessionboard.com/en/knowledge-base/7225412-reverting-a-subsession-back-to-a-parent-session,PUBLISHED,0,Feature Overview Guides,Subsessions,/sessions/reverting-a-subsession-back-to-a-parent-session,imported
Bizzabo Integration,https://learn.sessionboard.com/en/knowledge-base/bizzabo-integration,PUBLISHED,0,Integrations,,/apps/bizzabo-integration,imported
Speaker CRM: Add Contacts To An Event,https://learn.sessionboard.com/en/knowledge-base/crm-add-contact-to-events,PUBLISHED,0,Feature Overview Guides,Speaker CRM,/speaker-crm/crm-add-contact-to-events,imported
ExpoPlatform Integration,https://learn.sessionboard.com/en/knowledge-base/6339585-expoplatform-integration,PUBLISHED,0,Integrations,,/apps/expoplatform-integration,imported
Sponsor Intake Form,https://learn.sessionboard.com/en/knowledge-base/6283884-sponsor-intake-form,PUBLISHED,0,Feature Overview Guides,Exhibitors/Sponsors,/sponsors-exhibitors/sponsor-intake-form,imported
How to access my portal?,https://learn.sessionboard.com/en/knowledge-base/7065123-how-to-access-my-portal,PUBLISHED,0,Portal Users,,/participants/access-portal,hand-migrated
Email Templates,https://learn.sessionboard.com/en/knowledge-base/8117433-email-templates,PUBLISHED,0,Feature Overview Guides,Event Settings,/settings/email-templates,imported
Can I clone my event?,https://learn.sessionboard.com/en/knowledge-base/8511274-clone-an-event,PUBLISHED,0,Frequently Asked Questions,,/faq/clone-an-event,imported
How to view & edit my session submission form?,https://learn.sessionboard.com/en/knowledge-base/7065706-how-to-view-edit-my-session-submission-form,DRAFT,0,Portal Users,Portals (Legacy),/participants/edit-submission,draft-hold; repointed: broken/404 in HubSpot today; nearest published article
Event Details & Record Settings,https://learn.sessionboard.com/en/knowledge-base/6283571-set-up-event-details,PUBLISHED,0,Feature Overview Guides,Event Settings,/events/event-details,hand-migrated
Webhooks,https://learn.sessionboard.com/en/knowledge-base/webhooks,PUBLISHED,0,Integrations,,/integrations/webhooks,hand-migrated
Save a submission as a draft,https://learn.sessionboard.com/en/knowledge-base/save-a-submission-as-a-draft,PUBLISHED,0,Portal Users,,/participants/save-a-submission-as-a-draft,imported
